project,project_type,definition,scoped_name,description,group,tags,url,is_module
master,Library,Breakers_Faults,master:Breakers_Faults,Breakers and Faults,(null),,,True
master,Library,CSMF,master:CSMF,Control Systems Modelling Functions,(null),,,True
master,Library,Cable1,master:Cable1,,,,,True
master,Library,Cable_Coax,master:Cable_Coax,Cable Constants Coax Cable Data,Cables,,,False
master,Library,Cable_CoaxSimpl,master:Cable_CoaxSimpl,Underground Cable with Simplified Interface,Cables,,,False
master,Library,Cable_PipeOnly,master:Cable_PipeOnly,Pipe with no cables inside,Cables,,,False
master,Library,Cable_PipeType,master:Cable_PipeType,Cable Constants Pipe-Type Cable Data,Cables,,,False
master,Library,Cable_PipeTypeSimpl,master:Cable_PipeTypeSimpl,Pipe-Type Cable with Simplified Interface,Cables,,,False
master,Library,Cables,master:Cables,Arial or Underground Cables,(null),,,True
master,Library,Cosimulation,master:Cosimulation,,,,,False
master,Library,Data_recorders_Readers,master:Data_recorders_Readers,External Data Recorders and Readers,(null),,,True
master,Library,Dload,master:Dload,Individually configutable Delta connected load,Passive,,,False
master,Library,Dload_3branch,master:Dload_3branch,Individually configutable Delta connected 3 branch load,Passive,,,False
master,Library,HVDC_FACTS_PE,master:HVDC_FACTS_PE,"HVDC, FACTS and Power Electronics",(null),,,True
master,Library,I/O_Devices,master:I/O_Devices,"Slider, switch, dial, push button, Output channel, ...",(null),,,True
master,Library,Imports_Exports_Labels,master:Imports_Exports_Labels,"Imports, Exports and Labels",(null),,,True
master,Library,LIne_Tower_6_Vert,master:LIne_Tower_6_Vert,Line Constants 6 Cond Vertical Tower,"Transmission Line,Cables",,,False
master,Library,Line_Berg_Options,master:Line_Berg_Options,Bergeron Model,"Transmission Line,Cables",,,False
master,Library,Line_BusWork_1,master:Line_BusWork_1,Line Constants 1 Conductor Bus Bar,"Transmission Line,Cables",,,False
master,Library,Line_BusWork_3H,master:Line_BusWork_3H,Line Constants 3 Conductor Horizontal Bus Bar,"Transmission Line,Cables",,,False
